iter	Passed	Remaining
228	698	2351
229	701	2347
230	704	2343
231	706	2339
232	709	2335
233	712	2331
234	714	2326
235	717	2323
236	720	2319
237	723	2315
238	725	2311
239	728	2307
240	731	2303
241	734	2299
242	736	2295
243	739	2291
244	742	2287
245	745	2283
246	748	2281
247	751	2278
248	754	2274
249	756	2270
250	759	2267
251	762	2263
252	765	2259
253	768	2255
254	770	2252
255	773	2248
256	776	2244
257	779	2241
258	782	2237
259	784	2233
260	787	2230
261	790	2226
262	793	2222
263	795	2219
264	798	2215
265	801	2211
266	804	2207
267	806	2203
268	809	2200
269	812	2196
270	815	2192
271	817	2188
272	820	2184
273	823	2181
274	826	2178
275	828	2174
276	832	2171
277	835	2168
278	837	2165
279	840	2162
280	843	2158
281	846	2156
282	849	2153
283	852	2150
284	855	2147
285	858	2143
286	861	2140
287	864	2136
288	866	2132
289	869	2129
290	872	2125
291	875	2121
292	877	2118
293	880	2114
294	883	2110
295	886	2107
296	888	2103
297	891	2100
298	894	2096
299	896	2092
300	899	2089
301	902	2085
302	905	2082
303	907	2078
304	910	2075
305	913	2071
306	916	2068
307	919	2064
308	921	2061
309	924	2057
310	927	2053
311	929	2050
312	932	2047
313	935	2043
314	938	2039
315	940	2036
316	943	2032
317	946	2029
318	949	2025
319	951	2022
320	954	2018
321	957	2015
322	959	2011
323	962	2008
324	965	2004
325	967	2001
326	970	1997
327	973	1994
328	976	1990
329	979	1987
330	981	1984
331	984	1980
332	987	1977
333	989	1973
334	992	1970
335	995	1967
336	998	1963
337	1000	1960
338	1003	1956
339	1006	1953
340	1008	1949
341	1011	1946
342	1014	1943
343	1017	1939
344	1019	1936
345	1022	1933
346	1025	1930
347	1028	1927
348	1031	1924
349	1034	1921
350	1037	1918
351	1041	1916
352	1044	1913
353	1047	1910
354	1050	1908
355	1052	1904
356	1055	1901
357	1058	1898
358	1061	1894
359	1063	1891
360	1066	1888
361	1069	1884
362	1072	1881
363	1074	1877
364	1077	1874
365	1080	1871
366	1082	1867
367	1085	1864
368	1088	1861
369	1091	1857
370	1093	1854
371	1096	1851
372	1099	1847
373	1102	1844
374	1104	1841
375	1107	1838
376	1110	1834
377	1112	1831
378	1115	1828
379	1118	1824
380	1121	1821
381	1123	1818
382	1126	1814
383	1129	1811
384	1132	1808
385	1134	1805
386	1137	1801
387	1140	1798
388	1143	1795
389	1145	1792
390	1148	1788
391	1151	1785
392	1154	1782
393	1156	1779
394	1159	1775
395	1162	1772
396	1164	1769
397	1167	1766
398	1170	1762
399	1173	1759
400	1175	1756
401	1178	1753
402	1181	1749
403	1184	1746
404	1186	1743
405	1189	1740
406	1192	1737
407	1194	1733
408	1197	1730
409	1200	1727
410	1203	1724
411	1205	1720
412	1208	1717
413	1211	1714
414	1213	1711
415	1216	1707
416	1219	1704
417	1222	1701
418	1225	1698
419	1228	1696
420	1231	1693
421	1234	1690
422	1237	1687
423	1240	1685
424	1243	1682
425	1246	1679
426	1248	1675
427	1251	1672
428	1254	1669
429	1257	1666
430	1259	1663
431	1262	1660
432	1265	1656
433	1267	1653
434	1270	1650
435	1273	1647
436	1276	1644
437	1278	1641
438	1281	1637
439	1284	1634
440	1286	1631
441	1289	1628
442	1292	1624
443	1295	1621
444	1297	1618
445	1300	1615
446	1303	1612
447	1306	1609
448	1308	1606
449	1311	1602
450	1314	1599
451	1317	1596
452	1319	1593
453	1322	1590
454	1325	1587
455	1327	1584
456	1330	1580
457	1333	1577
458	1336	1575
459	1339	1572
460	1341	1568
461	1344	1565
462	1347	1562
463	1350	1559
464	1352	1556
465	1355	1553
466	1358	1550
467	1361	1547
468	1363	1544
469	1366	1541
470	1369	1538
471	1372	1534
472	1374	1531
473	1377	1528
474	1380	1525
475	1383	1522
476	1385	1519
477	1388	1516
478	1391	1513
479	1394	1510
480	1397	1507
481	1400	1504
482	1402	1501
483	1405	1498
484	1408	1495
485	1411	1493
486	1415	1490
487	1419	1488
488	1422	1486
489	1426	1484
490	1430	1483
491	1434	1481
492	1437	1478
493	1441	1476
494	1445	1474
495	1449	1472
496	1452	1470
497	1456	1467
498	1459	1465
499	1463	1463
500	1466	1460
501	1470	1458
502	1473	1455
503	1476	1452
504	1479	1449
505	1482	1447
506	1485	1444
507	1488	1441
508	1490	1438
509	1493	1435
510	1496	1431
511	1499	1428
512	1501	1425
513	1504	1422
514	1507	1419
515	1510	1416
516	1513	1413
517	1515	1410
518	1518	1407
519	1521	1404
520	1523	1401
521	1526	1398
522	1529	1394
523	1532	1392
524	1535	1388
525	1537	1385
526	1540	1382
527	1543	1379
528	1546	1376
529	1549	1373
530	1551	1370
531	1554	1367
532	1557	1364
533	1560	1361
534	1563	1358
535	1565	1355
536	1568	1352
537	1571	1349
538	1573	1346
539	1576	1343
540	1579	1340
541	1582	1336
542	1584	1333
543	1587	1330
544	1590	1327
545	1593	1324
546	1596	1322
547	1599	1319
548	1602	1316
549	1605	1313
550	1608	1310
551	1611	1307
552	1613	1304
553	1616	1301
554	1619	1298
555	1622	1295
556	1624	1292
557	1627	1289
558	1630	1285
559	1632	1282
560	1635	1279
561	1638	1276
562	1641	1273
563	1643	1270
564	1646	1267
565	1649	1264
566	1652	1261
567	1654	1258
568	1657	1255
569	1660	1252
570	1663	1249
571	1677	1255
572	1684	1255
573	1698	1260
574	1704	1259
575	1710	1259
576	1717	1258
577	1723	1258
578	1729	1257
579	1735	1256
580	1741	1255
581	1747	1254
582	1753	1254
583	1759	1253
584	1765	1252
585	1773	1252
586	1781	1253
587	1789	1253
588	1796	1253
589	1803	1253
590	1809	1252
591	1815	1251
592	1822	1250
593	1827	1249
594	1834	1248
595	1839	1247
596	1845	1245
597	1852	1245
598	1857	1243
599	1863	1242
600	1870	1241
601	1875	1240
602	1881	1238
603	1887	1237
604	1893	1236
605	1900	1235
606	1907	1234
607	1913	1233
608	1920	1233
609	1933	1235
610	1965	1251
611	1965	1251
612	2133	1348
613	2366	1490
614	2383	1494
615	2401	1499
616	2419	1504
617	2440	1510
618	2458	1515
619	2475	1519
620	2493	1524
621	2511	1528
622	2529	1532
623	2547	1537
624	2565	1541
625	2582	1545
626	2599	1549
627	2616	1552
628	2633	1555
629	2650	1559
630	2672	1565
631	2690	1568
632	2717	1578
633	2735	1581
634	2770	1595
635	2789	1599
636	2806	1602
637	2824	1605
638	2843	1608
639	2856	1609
640	2874	1612
641	2884	1611
642	2895	1609
643	2905	1608
644	2917	1608
645	2929	1607
646	2940	1606
647	2951	1605
648	2962	1604
649	2973	1603
650	2984	1602
651	2999	1603
652	3009	1601
653	3020	1600
654	3030	1598
655	3041	1597
656	3052	1595
657	3063	1594
658	3366	1744
659	3842	1982
660	3859	1982
661	3869	1978
662	3932	2001
663	4183	2120
664	4201	2119
665	4218	2118
666	4237	2118
667	4256	2118
668	4275	2118
669	4296	2119
670	4315	2119
671	4334	2118
672	4352	2117
673	4370	2116
674	4387	2115
675	4405	2114
676	4423	2113
677	4441	2112
678	4460	2111
679	4478	2110
680	4497	2109
681	4515	2108
682	4534	2107
683	4552	2106
684	4572	2105
685	4590	2104
686	4607	2102
687	4625	2100
688	4643	2098
689	4664	2098
690	4682	2096
691	4698	2094
692	4713	2090
693	4731	2089
694	4748	2086
695	4765	2084
696	4783	2082
697	4800	2080
698	4817	2077
699	4832	2074
700	4850	2071
701	4868	2069
702	4879	2064
703	5237	2205
704	5240	2195
705	5477	2284
706	5665	2351
707	5676	2344
708	5681	2335
709	5916	2419
710	5934	2415
711	5957	2413
712	5976	2408
713	5993	2404
714	6008	2398
715	6038	2398
716	6056	2393
717	6074	2389
718	6092	2384
719	6110	2379
720	6129	2375
721	6146	2370
722	6154	2361
723	6173	2356
724	6191	2351
725	6221	2351
726	6247	2349
727	6254	2340
728	6260	2330
729	6266	2320
730	6271	2311
731	6277	2301
732	6284	2292
733	6290	2282
734	6295	2273
735	6301	2263
736	6306	2253
737	6312	2243
738	6317	2234
739	6322	2224
740	6328	2214
741	6333	2205
742	6337	2195
743	6342	2185
744	6347	2175
745	6353	2166
746	6358	2156
747	6363	2146
748	6368	2137
749	6373	2127
750	6378	2117
751	6383	2108
752	6389	2098
753	6394	2089
754	6399	2079
755	6404	2069
756	6410	2060
757	6415	2050
758	6420	2041
759	6425	2031
760	6430	2022
761	6435	2012
762	6450	2006
763	6464	1999
764	6470	1990
765	6475	1980
766	6481	1971
767	6487	1962
768	6493	1953
769	6499	1943
770	6504	1934
771	6509	1925
772	6515	1915
773	6520	1906
774	6524	1896
775	6529	1887
776	6533	1877
777	6538	1868
778	6543	1858
779	6547	1849
780	6552	1839
781	6557	1830
782	6561	1820
783	6566	1811
784	6571	1802
785	6575	1792
786	6580	1783
787	6584	1773
788	6589	1764
789	6594	1755
790	6598	1745
791	6602	1736
792	6606	1726
793	6610	1717
794	6614	1707
795	6618	1698
796	6622	1689
797	6627	1679
798	6631	1670
799	6635	1661
800	6639	1651
801	6643	1642
802	6647	1632
803	6651	1623
804	6655	1614
805	6659	1604
806	6663	1595
807	6667	1586
808	6671	1577
809	6675	1567
810	6679	1558
811	6684	1549
812	6689	1540
813	6693	1531
814	6697	1522
815	6702	1513
816	6706	1504
817	6711	1495
818	6715	1486
819	6720	1477
820	6725	1468
821	6730	1459
822	6735	1450
823	6739	1441
824	6744	1432
825	6749	1423
826	6755	1414
827	6760	1405
828	6764	1396
829	6768	1387
830	6771	1378
831	6776	1369
832	6780	1360
833	6784	1351
834	6788	1343
835	6792	1334
836	6796	1325
837	6801	1316
838	6805	1307
839	6809	1298
840	6813	1289
841	6817	1280
842	6821	1271
843	6825	1263
844	6829	1254
845	6833	1245
846	6837	1236
847	6842	1227
848	6846	1219
849	6850	1210
850	6854	1201
851	6858	1192
852	6862	1184
853	6866	1175
854	6870	1166
855	6874	1157
856	6878	1149
857	6884	1140
858	6889	1132
859	6893	1123
860	6898	1114
861	6902	1106
862	6906	1097
863	6910	1088
864	6914	1080
865	6918	1071
866	6922	1063
867	6926	1054
868	6930	1045
869	6934	1037
870	6938	1028
871	6942	1020
872	6946	1011
873	6950	1003
874	6954	994
875	6957	986
876	6961	977
877	6965	969
878	6969	960
879	6973	952
880	6977	943
881	6981	935
882	6985	926
883	6989	918
884	6994	909
885	6998	901
886	7001	893
887	7006	884
888	7010	876
889	7015	868
890	7019	859
891	7023	851
892	7028	843
893	7032	834
894	7035	826
895	7039	817
896	7042	809
897	7045	801
898	7049	792
899	7052	784
900	7056	776
901	7059	767
902	7063	759
903	7066	751
904	7069	742
905	7073	734
906	7076	726
907	7080	718
908	7083	709
909	7087	701
910	7091	693
911	7095	685
912	7098	677
913	7102	669
914	7105	660
915	7109	652
916	7112	644
917	7115	636
918	7119	628
919	7122	620
920	7126	611
921	7129	603
922	7133	595
923	7136	587
924	7140	579
925	7143	571
926	7146	563
927	7150	555
928	7153	547
929	7157	539
930	7160	531
931	7164	523
932	7167	515
933	7179	507
934	7189	500
935	7193	492
936	7197	484
937	7202	476
938	7206	468
939	7211	460
940	7215	452
941	7220	445
942	7224	437
943	7228	429
944	7233	421
945	7237	413
946	7242	405
947	7246	397
948	7250	390
949	7255	382
950	7259	374
951	7263	366
952	7268	358
953	7272	351
954	7277	343
955	7281	335
956	7287	327
957	7292	320
958	7296	312
959	7301	304
960	7306	296
961	7311	289
962	7315	281
963	7320	273
964	7324	265
965	7328	258
966	7333	250
967	7337	242
968	7341	235
969	7345	227
970	7350	219
971	7354	212
972	7359	204
973	7363	196
974	7368	189
975	7372	181
976	7376	173
977	7381	166
978	7385	158
979	7390	150
980	7394	143
981	7399	135
982	7403	128
983	7407	120
984	7412	112
985	7417	105
986	7421	97
987	7426	90
988	7430	82
989	7434	75
990	7439	67
991	7443	60
992	7448	52
993	7452	45
994	7457	37
995	7461	29
996	7465	22
997	7470	14
998	7474	7
999	7479	0
