iter	Logloss
0	0.6794569439
1	0.6653127439
2	0.6517708735
3	0.6392832846
4	0.6265328238
5	0.6138339922
6	0.6020414063
7	0.5900748543
8	0.5794100412
9	0.5684711863
10	0.557885869
11	0.5477788856
12	0.5377945571
13	0.527909752
14	0.5181261237
15	0.5084610836
16	0.4996955015
17	0.4913442702
18	0.4829947527
19	0.4750849996
20	0.4669549454
21	0.4586021047
22	0.4512131678
23	0.4439797697
24	0.4370701858
25	0.4302777699
26	0.4237536791
27	0.4169185648
28	0.4107985249
29	0.4048472411
30	0.3991583909
31	0.3936299046
32	0.3877365309
33	0.3823122265
34	0.3773165488
35	0.3721628552
36	0.3666023756
37	0.3615663234
38	0.357039965
39	0.3525251031
40	0.3481938025
41	0.3437800676
42	0.3399338424
43	0.335708176
44	0.3316677714
45	0.3280574055
46	0.3241605888
47	0.3208338996
48	0.3173245071
49	0.3139483644
50	0.3108926295
51	0.3075324361
52	0.3042849501
53	0.301173054
54	0.2981495335
55	0.2952259479
56	0.2921717886
57	0.2894572818
58	0.2869023248
59	0.2841838663
60	0.2814468014
61	0.2789716679
62	0.2766093625
63	0.2743146938
64	0.2720832816
65	0.2697989569
66	0.2676770841
67	0.2654890418
68	0.2635189741
69	0.261492811
70	0.2595956637
71	0.2576726143
72	0.2557799854
73	0.254026663
74	0.2521873727
75	0.2505518358
76	0.2489950941
77	0.2473222302
78	0.2456500101
79	0.2441384553
80	0.242646444
81	0.2411200943
82	0.2397449911
83	0.2383786216
84	0.237080366
85	0.2356999501
86	0.2343808016
87	0.233087927
88	0.231776167
89	0.2307169763
90	0.2293288899
91	0.228184868
92	0.227026661
93	0.225869207
94	0.2248376363
95	0.2237601208
96	0.2227323403
97	0.221777646
98	0.2207494602
99	0.2197998632
100	0.2187784981
101	0.2178504167
102	0.2168448031
103	0.2160025987
104	0.2150626865
105	0.2141767259
106	0.2133768769
107	0.212538618
108	0.2115885503
109	0.2107849452
110	0.2099277912
111	0.2092810628
112	0.2086124385
113	0.2079588426
114	0.2072824782
115	0.2065899332
116	0.2058326433
117	0.2052023616
118	0.2047054461
119	0.2040261494
120	0.2033273246
121	0.2027139227
122	0.2021268246
123	0.2014511939
124	0.2007038558
125	0.2001403386
126	0.1996277514
127	0.1990618024
128	0.1984643817
129	0.1979012567
130	0.1973204236
131	0.1968934654
132	0.1963221105
133	0.1958338115
134	0.1954133675
135	0.1948141685
136	0.1942836622
137	0.1938104977
138	0.1933040348
139	0.1928700377
140	0.192425098
141	0.1920963499
142	0.191755572
143	0.1912808592
144	0.1908142578
145	0.1902919801
146	0.1898165327
147	0.1893035991
148	0.1890002277
149	0.1884876517
150	0.1880760399
151	0.1877359552
152	0.187197954
153	0.1869082353
154	0.1864956093
155	0.1862034043
156	0.1858906278
157	0.1853935991
158	0.1848508477
159	0.1844612862
160	0.1841639088
161	0.183861433
162	0.1835146435
163	0.1831356294
164	0.1828421489
165	0.1824276516
166	0.1822013588
167	0.1818060334
168	0.1814438816
169	0.1810593378
170	0.1807753737
171	0.1803730624
172	0.180139506
173	0.1796851553
174	0.1794235441
175	0.179221809
176	0.1789044944
177	0.1786908508
178	0.1783112681
179	0.1780011611
180	0.1777768998
181	0.1773474991
182	0.1769888134
183	0.1767596557
184	0.1764525634
185	0.1761500255
186	0.1758055139
187	0.1754917471
188	0.1754291085
189	0.1750455919
190	0.1747027833
191	0.1744782256
192	0.1743918999
193	0.1742590121
194	0.1741126982
195	0.1739874032
196	0.1737223476
197	0.1734978238
198	0.173360044
199	0.1730801703
200	0.1729024821
201	0.1727725803
202	0.1726148409
203	0.1724880208
204	0.1722968444
205	0.1722057037
206	0.1719508861
207	0.1718380428
208	0.1716458136
209	0.1715922339
210	0.1713950236
211	0.1713310229
212	0.1712564625
213	0.1709624096
214	0.1708313864
215	0.1705439917
216	0.1704911491
217	0.1703920724
218	0.1703014112
219	0.170201321
220	0.1700230204
221	0.1699309422
222	0.1698707928
223	0.1697803971
224	0.1695119501
225	0.1693896474
226	0.1693257483
227	0.1692360682
228	0.1691595225
229	0.1689398459
230	0.1687037316
231	0.1686444451
232	0.1685665134
233	0.1684609248
234	0.1683798705
235	0.1681521535
236	0.1678888666
237	0.1678036492
238	0.1677053532
239	0.1675710112
240	0.1673282958
241	0.167293915
242	0.1671031991
243	0.1670520771
244	0.1668614534
245	0.1668007289
246	0.166610819
247	0.1663975251
248	0.1663232573
249	0.1661713997
250	0.1659550498
251	0.1658982329
252	0.1658518621
253	0.1657456206
254	0.1654814716
255	0.1653590834
256	0.1652592266
257	0.1650184206
258	0.1649701924
259	0.1648348666
260	0.1646622364
261	0.1644743604
262	0.1643703729
263	0.1643122374
264	0.164136845
265	0.1639491872
266	0.1637458316
267	0.1634553666
268	0.1632644119
269	0.1631655985
270	0.1630758648
271	0.1630271821
272	0.1628890144
273	0.1626159951
274	0.1624949167
275	0.1624350067
276	0.1623970233
277	0.1622015434
278	0.1621178682
279	0.1619299104
280	0.1618667319
281	0.1616929657
282	0.1616233624
283	0.1614077243
284	0.1613159271
285	0.1612184202
286	0.1611183945
287	0.1610476756
288	0.1608120936
289	0.16074525
290	0.1606786849
291	0.1605355659
292	0.1604330286
293	0.1603882409
294	0.1603090021
295	0.1601667589
296	0.1601047287
297	0.1599612371
298	0.1599173211
299	0.1598441282
300	0.1598042485
301	0.1597625828
302	0.1596779164
303	0.1594584081
304	0.1592455902
305	0.1589404352
306	0.1587425506
307	0.1585723631
308	0.1585491428
309	0.1583340503
310	0.1580299999
311	0.1579743775
312	0.1579121447
313	0.1578574139
314	0.1577302909
315	0.1576074423
316	0.1573656766
317	0.157185929
318	0.1570530086
319	0.156861795
320	0.1565799452
321	0.1564465394
322	0.1563383321
323	0.1562460939
324	0.1561875341
325	0.1561179797
326	0.1560628535
327	0.1560333598
328	0.1560058746
329	0.1559449459
330	0.1556461604
331	0.1555566708
332	0.1553694868
333	0.1551689771
334	0.1550558081
335	0.1547459091
336	0.154637879
337	0.1544320958
338	0.1543895812
339	0.1543453702
340	0.1542538891
341	0.1541881105
342	0.1541538242
343	0.1539143206
344	0.1538174045
345	0.1534251411
346	0.1533351391
347	0.1532892132
348	0.1531935156
349	0.1530857464
350	0.1529166084
351	0.1527059024
352	0.1525766539
353	0.1524613336
354	0.1522600909
355	0.1522213579
356	0.1521237653
357	0.1520502017
358	0.1519707841
359	0.1517579579
360	0.1515509311
361	0.1514521679
362	0.151384418
363	0.1513450765
364	0.1512107817
365	0.1511625395
366	0.1510429851
367	0.1510182421
368	0.1509326412
369	0.1506700253
370	0.150615747
371	0.1505641646
372	0.1504428265
373	0.1504085577
374	0.1503842641
375	0.1501979147
376	0.150135125
377	0.1499080818
378	0.1498686784
379	0.1498017394
380	0.1496850665
381	0.149522163
382	0.1493702885
383	0.149148749
384	0.1490643097
385	0.148920656
386	0.1488772856
387	0.1488080877
388	0.1487410415
389	0.1485961874
390	0.1483992813
391	0.1482746508
392	0.1481638534
393	0.1478968551
394	0.1477719978
395	0.1477248614
396	0.1477005463
397	0.1476280595
398	0.147391067
399	0.1472543208
400	0.1471658886
401	0.1470675681
402	0.1469037317
403	0.1468027174
404	0.1466318783
405	0.1465488012
406	0.1464325949
407	0.1463379874
408	0.1462730381
409	0.1461783016
410	0.1460726072
411	0.1459461865
412	0.1458232134
413	0.1456874014
414	0.1456371392
415	0.1454832568
416	0.1453372677
417	0.1453072541
418	0.1452549035
419	0.1450876825
420	0.1450547011
421	0.144907476
422	0.1447281201
423	0.1445343591
424	0.1444675928
425	0.1443465989
426	0.1442230621
427	0.144139923
428	0.1439712999
429	0.1439042532
430	0.1438167977
431	0.143614769
432	0.1434241485
433	0.1433859512
434	0.1433287829
435	0.1432995499
436	0.1430379143
437	0.1429267598
438	0.1428977629
439	0.1428803642
440	0.1428244248
441	0.1427887687
442	0.1427636633
443	0.1426441367
444	0.1425823969
445	0.1423097243
446	0.142171198
447	0.1420694076
448	0.1418952732
449	0.1417032902
450	0.141590896
451	0.141456131
452	0.1411510165
453	0.1408869738
454	0.1407754886
455	0.1407204295
456	0.1406943396
457	0.140654493
458	0.1404761631
459	0.1403158693
460	0.1402740105
461	0.1401816914
462	0.1400510541
463	0.1399051545
464	0.1398200772
465	0.1397788934
466	0.1395617224
467	0.1393796598
468	0.1393362445
469	0.1392370246
470	0.1390274833
471	0.1387606712
472	0.13872927
473	0.1386773975
474	0.1386456082
475	0.1385524543
476	0.138524605
477	0.1384693377
478	0.1383879092
479	0.1382406112
480	0.1382152689
481	0.1380363441
482	0.137985333
483	0.1379399724
484	0.1379169063
485	0.1377453409
486	0.1376876563
487	0.1375652881
488	0.1374988977
489	0.1373943705
490	0.1372759876
491	0.1371853578
492	0.1371093013
493	0.1369269789
494	0.136772061
495	0.1366113019
496	0.1365774546
497	0.1364928752
498	0.1364447149
499	0.136324247
500	0.1360916158
501	0.1359856575
502	0.1358272384
503	0.1357438238
504	0.1356631271
505	0.1356181523
506	0.1354628635
507	0.1353223646
508	0.1351390528
509	0.1350729977
510	0.1350156945
511	0.1348955004
512	0.1348613417
513	0.1347242797
514	0.1345204555
515	0.1343847141
516	0.1342917667
517	0.1342733438
518	0.1341921381
519	0.1341266599
520	0.1340686999
521	0.1339953372
522	0.133934978
523	0.1338123442
524	0.1337616813
525	0.1336860272
526	0.1336483332
527	0.1335413235
528	0.1334369384
529	0.1332678407
530	0.133226864
531	0.133136628
532	0.1329465421
533	0.1328576238
534	0.1328292046
535	0.1327805641
536	0.1327366354
537	0.1325504153
538	0.1323192031
539	0.1322190206
540	0.1321477462
541	0.1320973959
542	0.1320521921
543	0.1318169044
544	0.1317600131
545	0.1316672525
546	0.1316353995
547	0.1313972853
548	0.1312001294
549	0.1311144345
550	0.1309390127
551	0.1308029115
552	0.1306740816
553	0.1305233176
554	0.1304432596
555	0.1302969126
556	0.1301953292
557	0.1300448727
558	0.1299938793
559	0.1297820628
560	0.1297265375
561	0.1296260913
562	0.1295516824
563	0.1295029846
564	0.1294396355
565	0.1293889853
566	0.1292979811
567	0.1291507579
568	0.1291168911
569	0.1290047589
570	0.1288041934
571	0.1285649354
572	0.128478262
573	0.1283025043
574	0.1282638123
575	0.1281350477
576	0.1280840856
577	0.1280571278
578	0.1278384206
579	0.1277967557
580	0.127733127
581	0.127513716
582	0.1272615145
583	0.1271611225
584	0.1269613112
585	0.1269271084
586	0.1268293984
587	0.1267959233
588	0.1267496902
589	0.1266598548
590	0.1265919266
591	0.1264131357
592	0.1262952878
593	0.1261493099
594	0.1260146915
595	0.1258885527
596	0.1258449917
597	0.1257770616
598	0.1257571733
599	0.1256504135
600	0.1255880812
601	0.1254797747
602	0.1252730433
603	0.125136184
604	0.125055907
605	0.1248002602
606	0.1247559891
607	0.1247157182
608	0.1246349941
609	0.1244453727
610	0.1243914607
611	0.1243399139
612	0.124327425
613	0.1242926563
614	0.1241929801
615	0.1240166346
616	0.123986829
617	0.1239566886
618	0.1238829618
619	0.1237422389
620	0.1237074835
621	0.1236716215
622	0.1235860954
623	0.1233769165
624	0.1233020412
625	0.1232853561
626	0.1230350033
627	0.1230073754
628	0.1227908506
629	0.1225982056
630	0.1225446606
631	0.1224813232
632	0.1223977274
633	0.1223779297
634	0.1222998782
635	0.1222832563
636	0.1222489586
637	0.1221858547
638	0.1220192243
639	0.12198284
